datasource;dayofservice;tripid;progrnumber;stoppointid;plannedtime_arr;plannedtime_dep;actualtime_arr;actualtime_dep;vehicleid;passengers;passengersin;passengersout;distance;suppressed;justificationid;lastupdate;note
DB;27-MAR-17 00:00:00;4520197;46;1025;31778;31778;31073;31114;1000140;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4520197;51;2819;32216;32216;31810;31841;1000140;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4527707;3;4266;23696;23696;23675;23686;1000904;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4527707;8;7462;24291;24291;24196;24196;1000904;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4527707;13;4284;24574;24574;24528;24535;1000904;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4526979;52;5008;60364;60364;60896;60896;1001142;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4526979;57;2558;60788;60788;61410;61421;1001142;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4532709;36;3366;60566;60566;61064;61077;2534816;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4532709;41;7186;60886;60886;61477;61488;2534816;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4532709;46;3957;61132;61132;61704;61723;2534816;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4532709;51;5112;61406;61406;61995;62017;2534816;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4533366;4;495;54473;54473;54254;54254;1000918;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4533366;8;312;55129;55129;54715;54749;1000918;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4533366;13;1450;55633;55633;55264;55264;1000918;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4533366;18;2194;55863;55863;55419;55419;1000918;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4533366;23;2200;56120;56120;55658;55668;1000918;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4533366;28;2214;56562;56562;56150;56150;1000918;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4527794;28;1219;30921;30921;31266;31282;1000760;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4527794;33;666;31314;31314;31596;31606;1000760;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4527794;38;616;31703;31703;32045;32057;1000760;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4527794;43;4415;32194;32194;32489;32489;1000760;;;;;;;09-APR-17 09:00:06;
